"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.110686370E0,5.609999895E-1,-7.630000114E-1,7.340000272E-1
1.115674062E0,5.669999719E-1,-7.689999938E-1,6.880000234E-1
1.120661760E0,5.109999776E-1,-7.450000048E-1,6.959999800E-1
1.125649452E0,3.819999993E-1,-7.110000253E-1,6.759999990E-1
1.130637139E0,3.070000112E-1,-6.930000186E-1,5.600000024E-1
1.135624757E0,3.840000033E-1,-6.219999790E-1,4.799999893E-1
1.140612447E0,4.120000005E-1,-4.300000072E-1,3.459999859E-1
1.145600158E0,3.179999888E-1,-2.389999926E-1,1.330000013E-1
1.150587851E0,2.220000029E-1,-7.599999756E-2,-1.969999969E-1
1.155575285E0,1.509999931E-1,2.300000004E-2,-5.389999747E-1
1.160562975E0,8.200000226E-2,5.200000107E-2,-8.220000267E-1
1.165550653E0,2.700000070E-2,6.899999827E-2,-1.024999976E0
1.170538345E0,-2.099999972E-2,7.199999690E-2,-1.208999991E0
1.175526037E0,-9.700000286E-2,9.799999744E-2,-1.409000039E0
1.180513735E0,-2.980000079E-1,1.159999967E-1,-1.550999999E0
1.185501427E0,-5.070000291E-1,7.999999821E-2,-1.601999998E0
1.190489100E0,-7.839999795E-1,-6.800000370E-2,-1.659000039E0
1.195476718E0,-4.219999909E-1,4.699999839E-2,-1.651000023E0
1.200464408E0,-2.039999962E-1,8.699999750E-2,-1.600000024E0
1.205452085E0,-1.169999987E-1,9.399999678E-2,-1.496999979E0
1.210439778E0,-1.850000024E-1,2.199999988E-2,-1.398000002E0
1.215427470E0,4.199999943E-2,8.799999952E-2,-1.294999957E0
1.220414929E0,2.080000043E-1,9.700000286E-2,-1.200000048E0
1.225402619E0,1.969999969E-1,7.000000030E-2,-1.009999990E0
1.230390311E0,5.200000107E-2,2.300000004E-2,-7.639999986E-1
1.235378000E0,-1.099999994E-2,-1.159999967E-1,-5.310000181E-1
1.240365692E0,-5.499999970E-2,-3.569999933E-1,-3.880000114E-1
1.245353309E0,3.200000152E-2,-8.320000172E-1,-4.860000014E-1
1.250340980E0,-1.770000011E-1,-1.054000020E0,-5.350000262E-1
1.255328672E0,-7.020000219E-1,-4.140000045E-1,1.879999936E-1
1.260316364E0,-5.099999905E-1,3.939999938E-1,8.500000089E-2
1.265304076E0,-3.519999981E-1,5.410000086E-1,-9.200000018E-2
